"player","team","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price"
"Jared Goff","DET",2026-09-04,4050.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-108,-122,NA,NA,NA,NA,NA,NA
"Joe Burrow","CIN",2026-09-04,3875.5,-115,-115,NA,NA,NA,NA,NA,NA,32.5,-114,-114,NA,NA,NA,NA,NA,NA
"Dak Prescott","DAL",2026-09-04,3950.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-102,-130,NA,NA,NA,NA,NA,NA
"Matthew Stafford","LAR",2026-09-04,3825.5,-114,-114,NA,NA,NA,NA,NA,NA,29.5,-132,100,NA,NA,NA,NA,NA,NA
"Trevor Lawrence","JAX",2026-09-04,3750.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-102,-130,NA,NA,NA,NA,NA,NA
"Drake Maye","NE",2026-09-04,3750.5,-114,-114,400.5,-114,-114,NA,NA,NA,25.5,-144,108,3.5,-108,-122,NA,NA,NA
"Brock Purdy","SF",2026-09-04,3700.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-108,-122,NA,NA,NA,NA,NA,NA
"Sam Darnold","SEA",2026-09-04,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,23.5,-102,-130,NA,NA,NA,NA,NA,NA
"Caleb Williams","CHI",2026-09-04,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,-122,-108,NA,NA,NA,NA,NA,NA
"Patrick Mahomes","KC",2026-09-04,3550.5,-115,-115,NA,NA,NA,NA,NA,NA,25.5,-105,-125,NA,NA,NA,NA,NA,NA
"Josh Allen","BUF",2026-09-04,3600.5,-114,-114,500.5,-114,-114,NA,NA,NA,24.5,-120,-110,10.5,-128,-104,NA,NA,NA
"Justin Herbert","LAC",2026-09-04,3600.5,-114,-114,300.5,-115,-115,NA,NA,NA,25.5,-108,-122,NA,NA,NA,NA,NA,NA
"Baker Mayfield","TB",2026-09-04,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,102,-136,NA,NA,NA,NA,NA,NA
"C.J. Stroud","HOU",2026-09-04,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-122,-108,NA,NA,NA,NA,NA,NA
"Jordan Love","GB",2026-09-04,3700.5,-114,-114,NA,NA,NA,NA,NA,NA,26.5,-108,-122,NA,NA,NA,NA,NA,NA
"Tyler Shough","NO",2026-09-04,3400.5,-114,-114,NA,NA,NA,NA,NA,NA,19.5,-148,112,NA,NA,NA,NA,NA,NA
"Bo Nix","DEN",2026-09-04,3475.5,-115,-115,NA,NA,NA,NA,NA,NA,24.5,100,-130,NA,NA,NA,NA,NA,NA
"Geno Smith","NYJ",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirk Cousins","LV",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fernando Mendoza","LV",2026-09-04,1950.5,-114,-114,NA,NA,NA,NA,NA,NA,11.5,102,-136,NA,NA,NA,NA,NA,NA
"Daniel Jones","IND",2026-09-04,3250.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,-136,102,NA,NA,NA,NA,NA,NA
"Jalen Hurts","PHI",2026-09-04,3150.5,-114,-114,425.5,-114,-114,NA,NA,NA,21.5,-122,-108,7.5,-148,112,NA,NA,NA
"Lamar Jackson","BAL",2026-09-04,3200.5,-114,-114,550.5,-114,-114,NA,NA,NA,24.5,-122,-108,3.5,-130,-102,NA,NA,NA
"Cam Ward","TEN",2026-09-04,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,19.5,106,-140,NA,NA,NA,NA,NA,NA
"Jayden Daniels","WAS",2026-09-04,3100.5,-114,-114,525.5,-115,-115,NA,NA,NA,21.5,-102,-130,4.5,100,-130,NA,NA,NA
"Jaxson Dart","NYG",2026-09-04,3100.5,-114,-114,475.5,-114,-114,NA,NA,NA,19.5,-108,-122,5.5,-118,-112,NA,NA,NA
"Aaron Rodgers","PIT",2026-09-04,3050.5,-114,-114,NA,NA,NA,NA,NA,NA,20.5,-130,100,NA,NA,NA,NA,NA,NA
"Kyler Murray","MIN",2026-09-04,3000.5,-115,-115,375.5,-115,-115,NA,NA,NA,17.5,-135,105,NA,NA,NA,NA,NA,NA
"Bryce Young","CAR",2026-09-04,2875.5,-114,-114,NA,NA,NA,NA,NA,NA,20.5,-108,-122,NA,NA,NA,NA,NA,NA
"Malik Willis","MIA",2026-09-04,2800.5,-115,-115,NA,NA,NA,NA,NA,NA,14.5,-105,-125,7.5,500,NA,NA,NA,NA
"Jacoby Brissett","ARI",2026-09-04,2550.5,-115,-115,NA,NA,NA,NA,NA,NA,11.5,100,-130,NA,NA,NA,NA,NA,NA
"Deshaun Watson","CLE",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Henry","BAL",2026-09-04,NA,NA,NA,1225.5,-114,-114,NA,NA,NA,NA,NA,NA,12.5,-132,-102,NA,NA,NA
"James Cook","BUF",2026-09-04,NA,NA,NA,1175.5,-114,-114,NA,NA,NA,NA,NA,NA,10.5,106,-140,NA,NA,NA
"Jonathan Taylor","IND",2026-09-04,NA,NA,NA,1225.5,-114,-114,NA,NA,NA,NA,NA,NA,11.5,-122,-108,NA,NA,NA
"Jahmyr Gibbs","DET",2026-09-04,NA,NA,NA,1200.5,-114,-114,475.5,-114,-114,NA,NA,NA,11.5,-166,120,3.5,100,-130
"Bijan Robinson","ATL",2026-09-04,NA,NA,NA,1150.5,-114,-114,575.5,-115,-115,NA,NA,NA,9.5,-108,-122,3.5,110,-140
"Saquon Barkley","PHI",2026-09-04,NA,NA,NA,1050.5,-114,-114,350.5,-115,-115,NA,NA,NA,7.5,-114,-114,NA,NA,NA
