player,team,position,headshot_url,date,pass_yds_line,pass_yds_over_price,pass_yds_under_price,rush_yds_line,rush_yds_over_price,rush_yds_under_price,rec_yds_line,rec_yds_over_price,rec_yds_under_price,pass_tds_line,pass_tds_over_price,pass_tds_under_price,rush_tds_line,rush_tds_over_price,rush_tds_under_price,rec_tds_line,rec_tds_over_price,rec_tds_under_price,rush_yds_expected,rush_tds_expected,rec_yds_expected,rec_tds_expected,pass_yds_expected,pass_tds_expected,implied_fantasy_points
AJ Brown,PHI,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",2025-08-10,NA,NA,NA,NA,NA,NA,1125.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,108,-144,NA,NA,1199.1308411214952,7.977301387137453,NA,NA,167.77689243497426
Aaron Jones,MIN,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",2025-08-10,NA,NA,NA,725.5,-114,-114,NA,NA,NA,NA,NA,NA,3.5,-130,-102,NA,NA,NA,772.9626168224298,3.775721050365906,NA,NA,NA,NA,99.9505879844384
Aaron Rodgers,PIT,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",2025-08-10,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-108,-125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3409.878504672897,24.164529914529915,233.0532598450355
Adam Thielen,CAR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/peomvmvfqe68czeu8qek",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Allen Lazard,NYJ,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b05f33npu1zjtpozfgdk",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Alvin Kamara,NO,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt",2025-08-10,NA,NA,NA,775.5,-114,-114,NA,NA,NA,NA,NA,NA,4.5,-114,-114,NA,NA,NA,826.233644859813,4.794392523364485,NA,NA,NA,NA,111.38971962616822
Amon-Ra St Brown,DET,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",2025-08-10,NA,NA,NA,NA,NA,NA,1075.5,-114,-114,NA,NA,NA,NA,NA,NA,8.5,-110,-120,NA,NA,1145.859813084112,9.07792207792208,NA,NA,169.05351377594366
Ashton Jeanty,LV,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syspis1mntov9kgspb7r",2025-08-10,NA,NA,NA,1075.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-118,-112,NA,NA,NA,1145.859813084112,8.028388436904969,NA,NA,NA,NA,162.756311929841
Baker Mayfield,TB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i2uufyghiphx4oihgucm",2025-08-10,3825.5,-114,-114,NA,NA,NA,NA,NA,NA,30.5,112,-148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4075.7663551401865,32.52586731588558,293.1341234691498
Bijan Robinson,ATL,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rjaf9auhx3lrktzgwpfb",2025-08-10,NA,NA,NA,1200.5,-114,-114,350.5,-114,-114,NA,NA,NA,10.5,112,-148,NA,NA,NA,1279.03738317757,11.156421180766891,373.4299065420561,NA,NA,NA,232.18525605656396
Bo Nix,DEN,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",2025-08-10,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,-114,-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3729.504672897195,26.102803738317753,253.59140186915883
Breece Hall,NYJ,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3dviruymtm2wl2zcpmr",2025-08-10,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-102,-130,NA,NA,NA,959.4112149532708,5.855789926818769,NA,NA,NA,NA,131.07586105623972
Brenton Strange,JAX,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yabpcvadjlrkxzducv7k",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Brian Robinson,WAS,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gxcfbuvmooytbn45kvxf",2025-08-10,NA,NA,NA,725.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,-130,-102,NA,NA,NA,772.9626168224298,6.986224709427464,NA,NA,NA,NA,119.21360993880776
Brian Thomas,JAX,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/plnekkriys4cm11rnxwl",2025-08-10,NA,NA,NA,NA,NA,NA,1150.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,120,-160,NA,NA,1225.766355140187,7.944055944055945,NA,NA,170.24097117835436
Brock Bowers,LV,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzp2ffi0lomamxofsrhy",2025-08-10,NA,NA,NA,NA,NA,NA,1025.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,124,-172,NA,NA,1092.5887850467288,5.840336134453782,NA,NA,144.30089531139558
Brock Purdy,SF,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xykdxnvxpf9pobxvkjfj",2025-08-10,3850.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,100,-132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4102.401869158878,26.155172413793103,268.7167644215275
Bryce Young,CAR,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",2025-08-10,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,-102,-130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3409.878504672897,19.767972449418856,215.4670299845913
Bucky Irving,TB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmgpumoxwhvrrkcjuuuw",2025-08-10,NA,NA,NA,1000.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-104,-128,NA,NA,NA,1065.9532710280373,8.008255933952528,NA,NA,NA,NA,154.6448627065189
CJ Stroud,HOU,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",2025-08-10,3825.5,-114,-114,NA,NA,NA,NA,NA,NA,21.5,-108,-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4075.7663551401865,22.963617463617467,254.88512406007737
Cade Otton,TB,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dlgxvfpnufpnxkvu1ynb",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
