"player","team","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price"
"Joe Burrow","CIN",2025-08-10,4200.5,-114,-114,NA,NA,NA,NA,NA,NA,33.5,-122,-108,NA,NA,NA,NA,NA,NA
"Patrick Mahomes","KC",2025-08-10,4000.5,-114,-114,NA,NA,NA,NA,NA,NA,27.5,-114,-114,NA,NA,NA,NA,NA,NA
"Jared Goff","DET",2025-08-10,3875.5,-114,-114,NA,NA,NA,NA,NA,NA,28.5,-102,-130,NA,NA,NA,NA,NA,NA
"Dak Prescott","DAL",2025-08-10,3875.5,-114,-114,NA,NA,NA,NA,NA,NA,26.5,-102,-130,NA,NA,NA,NA,NA,NA
"Brock Purdy","SF",2025-08-10,3850.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,100,-132,NA,NA,NA,NA,NA,NA
"Baker Mayfield","TB",2025-08-10,3825.5,-114,-114,NA,NA,NA,NA,NA,NA,30.5,112,-148,NA,NA,NA,NA,NA,NA
"C.J. Stroud","HOU",2025-08-10,3825.5,-114,-114,NA,NA,NA,NA,NA,NA,21.5,-108,-122,NA,NA,NA,NA,NA,NA
"Josh Allen","BUF",2025-08-10,3775.5,-114,-114,500.5,-114,-114,NA,NA,NA,27.5,112,-148,10.5,-104,-128,NA,NA,NA
"Trevor Lawrence","JAX",2025-08-10,3750.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-106,-125,NA,NA,NA,NA,NA,NA
"Geno Smith","LV",2025-08-10,3600.5,-114,-114,NA,NA,NA,NA,NA,NA,20.5,100,-132,NA,NA,NA,NA,NA,NA
"Justin Herbert","LAC",2025-08-10,3650.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-114,-114,NA,NA,NA,NA,NA,NA
"J.J. McCarthy","MIN",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,-102,-132,NA,NA,NA,NA,NA,NA
"Caleb Williams","CHI",2025-08-10,3625.5,-114,-114,400.5,-114,-114,NA,NA,NA,22.5,-136,102,NA,NA,NA,NA,NA,NA
"Jordan Love","GB",2025-08-10,3550.5,-114,-114,NA,NA,NA,NA,NA,NA,25.5,-112,-118,NA,NA,NA,NA,NA,NA
"Matthew Stafford","LAR",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamar Jackson","BAL",2025-08-10,3475.5,-114,-114,750.5,-114,-114,NA,NA,NA,28.5,-114,-114,3.5,-178,132,NA,NA,NA
"Michael Penix","ATL",2025-08-10,3350.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,-130,-104,NA,NA,NA,NA,NA,NA
"Bo Nix","DEN",2025-08-10,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,24.5,-114,-114,NA,NA,NA,NA,NA,NA
"Jayden Daniels","WAS",2025-08-10,3425.5,-114,-114,675.5,-114,-114,NA,NA,NA,24.5,114,-158,5.5,-130,-102,NA,NA,NA
"Tua Tagovailoa","MIA",2025-08-10,3500.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-114,-114,NA,NA,NA,NA,NA,NA
"Kyler Murray","ARI",2025-08-10,3375.5,-114,-114,475.5,-114,-114,NA,NA,NA,20.5,100,-132,4.5,122,-162,NA,NA,NA
"Sam Darnold","SEA",2025-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,112,-148,NA,NA,NA,NA,NA,NA
"Drake Maye","NE",2025-08-10,3275.5,-114,-114,NA,NA,NA,NA,NA,NA,20.5,-108,-122,NA,NA,NA,NA,NA,NA
"Bryce Young","CAR",2025-08-10,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,-102,-130,NA,NA,NA,NA,NA,NA
"Aaron Rodgers","PIT",2025-08-10,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,22.5,-108,-125,NA,NA,NA,NA,NA,NA
"Cameron Ward","TEN",2025-08-10,3200.5,-114,-114,NA,NA,NA,NA,NA,NA,18.5,100,-132,NA,NA,NA,NA,NA,NA
"Jalen Hurts","PHI",2025-08-10,3200.5,-114,-114,600.5,-114,-114,NA,NA,NA,19.5,-144,106,12.5,104,-138,NA,NA,NA
"Justin Fields","NYJ",2025-08-10,2600.5,-114,-114,650.5,-114,-114,NA,NA,NA,14.5,-108,-122,6.5,-114,-114,NA,NA,NA
"Saquon Barkley","PHI",2025-08-10,NA,NA,NA,1400.5,-114,-114,275.5,-114,-114,NA,NA,NA,10.5,-122,-108,NA,NA,NA
"Derrick Henry","BAL",2025-08-10,NA,NA,NA,1325.5,-114,-114,NA,NA,NA,NA,NA,NA,12.5,-130,-102,NA,NA,NA
"Jonathan Taylor","IND",2025-08-10,NA,NA,NA,1175.5,-114,-114,NA,NA,NA,NA,NA,NA,9.5,-102,-130,NA,NA,NA
"Bijan Robinson","ATL",2025-08-10,NA,NA,NA,1200.5,-114,-114,350.5,-114,-114,NA,NA,NA,10.5,112,-148,NA,NA,NA
"Jahmyr Gibbs","DET",2025-08-10,NA,NA,NA,1075.5,-114,-114,425.5,-114,-114,NA,NA,NA,10.5,112,-148,NA,NA,NA
